label,result,vertices,edges,runtime
216,sat,7,8,"1.931323999999961
"
217,sat,9,10,"1.9406313000000068
"
218,sat,9,10,"1.9065274000000159
"
219,sat,9,10,"1.8553127999999788
"
220,sat,3,3,"1.6417807999999923
"
221,sat,6,6,"1.7116225000000327
"
222,sat,10,14,"2.0609579000000053
"
223,sat,5,4,"1.6975237000000334
"
224,sat,7,6,"1.8100168999999937
"
225,sat,10,13,"1.915348999999992
"
226,sat,7,7,"1.6967281000000298
"
227,sat,10,14,"2.036502999999982
"
228,sat,7,8,"1.8902301999999622
"
229,sat,11,13,"2.2233312000000183
"
230,sat,5,4,"1.8941320000000132
"
231,sat,12,17,"2.679515400000014
"
232,sat,10,13,"1.9626122999999893
"
233,sat,8,8,"1.6356897000000004
"
234,sat,7,7,"1.6553951999999867
"
235,sat,6,6,"1.6646254999999996
"
236,sat,9,10,"1.8353912999999693
"
237,sat,8,9,"1.844867000000022
"
238,sat,7,8,"1.5847263999999655
"
239,sat,10,13,"1.8953068000000144
"
240,sat,7,6,"1.5941468000000327
"
241,sat,7,9,"1.7081092999999896
"
242,sat,9,9,"1.7870891000000029
"
243,sat,7,8,"1.6673943000000122
"
244,sat,6,5,"1.6154935999999793
"
245,sat,8,8,"1.739133900000013
"
246,sat,7,6,"1.6367457000000059
"
247,sat,6,6,"1.6171312999999827
"
248,sat,7,6,"1.6348133999999845
"
249,sat,7,5,"1.5816576000000282
"
250,sat,6,6,"1.6609832000000324
"
251,sat,8,8,"1.5843137999999612
"
252,sat,8,9,"1.7490280000000098
"
253,sat,7,7,"1.7330641000000355
"
254,sat,5,3,"1.6401420000000257
"
255,sat,5,4,"1.5739909999999782
"
256,sat,5,5,"1.5395110999999702
"
257,sat,8,9,"1.6352944999999863
"
258,sat,9,8,"1.7509873999999854
"
259,sat,5,5,"1.571471200000019
"
260,sat,7,7,"1.7321546999999669
"
261,sat,6,7,"1.5887311000000182
"
262,sat,8,9,"1.748965300000009
"
263,sat,7,8,"1.6961276000000112
"
264,sat,8,10,"1.67791729999999
"
265,sat,9,10,"1.726660699999968
"
266,sat,8,10,"1.7823395000000346
"
267,sat,9,13,"2.046991300000002
"
268,sat,8,9,"1.7466574000000037
"
269,sat,8,9,"1.820956200000012
"
270,sat,7,6,"1.6097466999999597
"
271,sat,9,12,"1.848508699999968
"
272,sat,6,5,"1.6581952999999885
"
273,sat,8,10,"1.7514614000000392
"
274,sat,7,6,"1.6062866999999983
"
275,sat,7,7,"1.6413091999999665
"
276,sat,7,8,"1.7225053999999886
"
277,sat,8,11,"1.7838912000000278
"
278,sat,7,7,"1.6468014000000153
"
279,sat,6,6,"1.6903583999999796
"
280,sat,6,6,"1.6136513999999806
"
281,sat,7,7,"1.7638192000000004
"
282,sat,8,9,"1.7739674999999693
"
283,sat,6,5,"1.556333699999982
"
284,sat,8,8,"1.722900999999979
"
285,sat,9,12,"1.8945982999999842
"
286,sat,6,6,"1.6679801999999881
"
287,sat,8,8,"1.6645427999999924
"
288,sat,8,8,"1.72596759999999
"
289,sat,10,11,"1.9422179000000028
"
290,sat,8,9,"1.7338280000000168
"
291,sat,6,5,"1.7255652000000055
"
292,sat,4,3,"1.4868701999999985
"
293,sat,7,9,"1.7748238999999444
"
294,sat,10,12,"1.926779500000066
"
295,sat,8,8,"1.669905999999969
"
296,sat,9,12,"1.9306452999999237
"
297,sat,9,11,"1.8789965000000848
"
298,sat,6,3,"1.6226503999999977
"
299,sat,8,6,"1.7059818999999834
"
300,sat,7,8,"1.6897475000000668
"
301,sat,8,9,"1.7548087000000123
"
302,sat,8,9,"1.7206708999999591
"
303,sat,6,7,"1.5488623999999618
"
304,sat,7,6,"1.6945967999999993
"
305,sat,8,9,"1.7831815000000688
"
306,sat,8,9,"1.6688964999999598
"
307,sat,8,8,"1.6672276999998985
"
308,sat,7,7,"1.603480500000046
"
309,sat,9,10,"1.8500306999999339
"
310,sat,4,4,"1.5629900000000134
"
311,sat,4,2,"1.5619903999998996
"
312,sat,4,3,"1.5387622000000647
"
313,sat,7,7,"1.6283955000000105
"
314,sat,7,7,"1.5966563000000633
"
315,sat,8,9,"1.7106708999999682
"
316,sat,3,3,"1.58137499999998
"
317,sat,5,5,"1.5680810999999721
"
318,sat,7,8,"1.6125745000000506
"
319,sat,9,12,"1.9295803999999634
"
320,sat,7,9,"1.8330941000000394
"
321,sat,7,7,"1.648413000000005
"
322,sat,7,6,"1.6494007999999667
"
323,sat,2,1,"1.5993140000000494
"
324,sat,8,8,"1.666985899999986
"
325,sat,8,6,"1.7166535999999724
"
326,sat,6,6,"1.6160650999999007
"
327,sat,6,4,"1.522966800000063
"
