graphs_name,embeddability,embeddability_bool
MoCk?`???[iEGS?w_,25-grid embeddable,sat
MoCk?`???[iIGK?w_,13-grid embeddable,sat
MoCk?`??@HiIAc?w_,21-grid embeddable,sat
MoCk?`??AHeIAc?w_,unembeddable,unsat
MoCk?`??APeI@c?w_,minimally unembeddable,unsat
MoCqO?@?AadE@c_W_,9-grid embeddable,sat
MoCqS???GRAIPIGd?,13-grid embeddable,sat
MoCs?P???sgeGS?w_,9-grid embeddable,sat
MoCs?P???sgiGK?w_,5-grid embeddable,sat
MoCs?P??@PgiCc?w_,minimally unembeddable,unsat
MoCs?P??APciCc?w_,21-grid embeddable,sat
MoCx?CISAAO??R?L_,5-grid embeddable,sat
MoD??EY@p_`GP@GB_,embeddable,sat
MoD?GOOG@HbQoO?w_,embeddable,sat
MoD@??pe?IgKA`@a_,unembeddable,unsat
MoD@??xBaIQ??R?d_,unembeddable,unsat
MoD@?APEaIcOB@?X_,minimally unembeddable,unsat
MoD@?AXGQA_oDDAb?,unembeddable,unsat
MoD@?BPGOQaa@`Aa_,minimally unembeddable,unsat
MoD@?_CA?lOMQCGo_,embeddable,sat
MoD@?_CA?tOMPCGo_,embeddable,sat
MoD@?_CACb?uQCGo_,embeddable,sat
MoD@?_CACb@UPCGo_,minimally unembeddable,unsat
MoD@?_Ra@AG`@kAF?,embeddable,sat
MoD@?_dCu?@cAB?e_,unembeddable,unsat
MoD@?a`Q_a@c@B?e_,unembeddable,unsat
MoD@GOO?@ogi?k_W_,5-grid embeddable,sat
MoD@GSKS@_O??J?T_,5-grid embeddable,sat
MoD@GSSQ@_O??F?X_,5-grid embeddable,sat
MoD@GWIS@_O??J?T_,9-grid embeddable,sat
MoD@GWQQ@_O??F?X_,9-grid embeddable,sat
MoD@G_G?@Pia?s_W_,9-grid embeddable,sat
MoD@GgIKAOO??R?L_,9-grid embeddable,sat
MoD@GoEQ@_O??X?F_,embeddable,sat
MoD@GoQIAGO??R?L_,9-grid embeddable,sat
MoD@K?GC?R?ZKCPG_,embeddable,sat
MoD@K?OA?E_kSIID?,minimally unembeddable,unsat
MoD@K?OA?QaKPIGd?,embeddable,sat
MoD@OSSKAGO??F?X_,5-grid embeddable,sat
MoD@O_C?@`giAc_W_,9-grid embeddable,sat
