graphs_name,embeddability,embeddability_bool
M@?ICGOR?DOLIa{C?,unembeddable,unsat
M@?ICOOR?DOdGq{C?,embeddable,sat
M@?ICOO`?DhcGq{C?,minimally unembeddable,unsat
M@?ICOO`?HgTIo{C?,embeddable,sat
M@?ICOO`?HhSGq{C?,minimally unembeddable,unsat
M@?ICOPP?HoPI`{C?,minimally unembeddable,unsat
M@?ICOYP?GoHGb{C?,embeddable,sat
M@?ICSWP?GoDGb{C?,minimally unembeddable,unsat
M@?IK?Pb?BGPIB{C?,unembeddable,unsat
M@?IKOP`?@gPIB{C?,13-grid embeddable,sat
M@?IKOSQ?@oHGb{C?,13-grid embeddable,sat
M@?IO__P?BoTbO{C?,5-grid embeddable,sat
M@?IO__`?HgLao{C?,minimally unembeddable,unsat
M@?IO__`?IgTaW{C?,unembeddable,unsat
M@?IO_a`?HgHaP{C?,minimally unembeddable,unsat
M@?IOc_P?BoDb@{C?,minimally unembeddable,unsat
M@?IS?O`?HgLIo{C?,embeddable,sat
M@?IS?XP?GoHGb{C?,minimally unembeddable,unsat
M@?ISGOP?@oLIa{C?,unembeddable,unsat
M@?K?__R?JGTao{C?,unembeddable,unsat
M@?K?__R?LGLao{C?,unembeddable,unsat
M@?K?__R?MGTaW{C?,embeddable,sat
M@?K?_aR?LGHaP{C?,unembeddable,unsat
M@?K?c_P?JpOQH{C?,unembeddable,unsat
M@?K?c_P?LpCQP{C?,minimally unembeddable,unsat
M@?K?c_R?JGDa`{C?,unembeddable,unsat
M@?KAEIPPED`UGdC?,unembeddable,unsat
M@?KC?PP?LhGI`{C?,21-grid embeddable,sat
M@?KC?PR?JGPI`{C?,unembeddable,unsat
M@?KC?QP?JhGI`{C?,minimally unembeddable,unsat
M@?KC?QR?JGHI`{C?,unembeddable,unsat
M@?KC?XP?IhOGb{C?,minimally unembeddable,unsat
M@?KCCOP?JhCI`{C?,unembeddable,unsat
M@?KCCOR?JGDI`{C?,unembeddable,unsat
M@?KCGOR?DGLIa{C?,minimally unembeddable,unsat
M@?KCOPP?HhOGb{C?,minimally unembeddable,unsat
M@?KG__R?BGTaQ{C?,unembeddable,unsat
M@?KIOOa?@gdGq{C?,unembeddable,unsat
M@?KK?PR?BGPIB{C?,unembeddable,unsat
M@?OAUA?iGdBbG{O?,unembeddable,unsat
M@?OCUCQACcTBK{O?,unembeddable,unsat
M@?P?EGO[IH?B`{@?,13-grid embeddable,sat
M@?P?EG_YIH?B`{@?,5-grid embeddable,sat
M@?P?EHOSGh?B`{@?,9-grid embeddable,sat
M@?P?OAQIIOKb_{@?,13-grid embeddable,sat
M@?P?OAQQHOKb_{@?,13-grid embeddable,sat
M@?P?OBQAGoKb_{@?,9-grid embeddable,sat
M@?P?OH_aCoiPI}??,unembeddable,unsat
M@?P?P@_sHH?B`{@?,13-grid embeddable,sat
M@?P?Q@OsHH?B`{@?,13-grid embeddable,sat
M@?PA@@a?T@i`a{C?,unembeddable,unsat
M@?PA@Ka?E@J`a{C?,minimally unembeddable,unsat
M@?PAA@Q?S`k`a{C?,unembeddable,unsat
M@?PAE?Q?P_lb_{C?,embeddable,sat
M@?PAPA_?Q_fb_{C?,embeddable,sat
M@?PC?BPOPH@b_{@?,9-grid embeddable,sat
M@?PC@@Q?T@i`a{C?,unembeddable,unsat
M@?PCPKO?C`J`a{C?,minimally unembeddable,unsat
M@?PS?@POPGDb_{@?,embeddable,sat
M@?Q@@Ka?E@J`a{C?,13-grid embeddable,sat
M@?QA?`a?T@i`a{C?,minimally unembeddable,unsat
M@?QC?`Q?T@i`a{C?,unembeddable,unsat
M@?S@@AQ?J@YbA{C?,unembeddable,unsat
M@?S@@AQ?R?ybA{C?,embeddable,sat
M@?S@PIO?G_ZbA{C?,13-grid embeddable,sat
M@?SAC_Q?J@Fb_{C?,unembeddable,unsat
M@?SAG_Q?F@Fb_{C?,unembeddable,unsat
M@?_S?P@QPGQb_{@?,5-grid embeddable,sat
M@?__OHPACoe_q}??,unembeddable,unsat
M@?aS?P@OPGBb_{@?,embeddable,sat
M@?g_?@QIEOKb_{@?,25-grid embeddable,sat
M@?g_?BQAAoKb_{@?,embeddable,sat
M@?g_O@OICoKb_{@?,21-grid embeddable,sat
M@?g_OAOIAoKb_{@?,minimally unembeddable,unsat
M@@?_@H_pIP?B`{@?,5-grid embeddable,sat
M@@?_CGPHQOKb_{@?,13-grid embeddable,sat
M@@?_CGQHIOKb_{@?,5-grid embeddable,sat
M@@?_D@`PPP?B`{@?,9-grid embeddable,sat
M@@?_DG_XIP?B`{@?,7-grid embeddable,sat
M@@?_DG`PBP?B`{@?,minimally unembeddable,unsat
M@@?_GAQHQOKb_{@?,13-grid embeddable,sat
M@@?_GBQ@OoKb_{@?,5-grid embeddable,sat
M@@?_GGOhQOKb_{@?,9-grid embeddable,sat
M@@?_HG_pBP?B`{@?,9-grid embeddable,sat
M@@?_OAPHQOKb_{@?,17-grid embeddable,sat
M@@?_OAQHIOKb_{@?,embeddable,sat
M@@?_OBP@OoKb_{@?,unembeddable,unsat
M@@?_ODO`OoKb_{@?,13-grid embeddable,sat
M@@?_PA`PBP?B`{@?,5-grid embeddable,sat
M@@?_PC_pBP?B`{@?,13-grid embeddable,sat
M@@?a?ka?E@J`a{C?,embeddable,sat
M@@?aGg_?P_Zb_{C?,unembeddable,unsat
M@@?aII_?O_ZJA{C?,unembeddable,unsat
M@@?aOc_?D`Jb_{C?,embeddable,sat
M@@?aOg_?H_Zb_{C?,embeddable,sat
M@@?aQI_?G_ZJA{C?,minimally unembeddable,unsat
M@@?cAIQ?I?ZJA{C?,minimally unembeddable,unsat
M@@?cIIO?O_ZJA{C?,minimally unembeddable,unsat
M@@?cOkO?C`J`a{C?,embeddable,sat
M@@?g?@QHQOKb_{@?,25-grid embeddable,sat
M@@?g?HQ@AoKb_{@?,embeddable,sat
M@@?gO@OHOoKb_{@?,embeddable,sat
M@@?h?@aC@hCBo{@?,9-grid embeddable,sat
M@@?o?@PHQOKb_{@?,embeddable,sat
M@@?o?@QHIOKb_{@?,embeddable,sat
M@@?o?DQ@AoKb_{@?,embeddable,sat
M@@?o?HP@AoKb_{@?,minimally unembeddable,unsat
M@@?oG@OHOoKb_{@?,minimally unembeddable,unsat
M@@?oGGOHAoKb_{@?,7-grid embeddable,sat
M@@@?`@a?T@i`a{C?,embeddable,sat
M@@@?`Ga?F@i`a{C?,embeddable,sat
M@@@?`Ka?E@J`a{C?,unembeddable,unsat
M@@@?a@Q?S`k`a{C?,embeddable,sat
M@@@?aGQ?E`k`a{C?,embeddable,sat
M@@@?q?Q?D_lb_{C?,embeddable,sat
M@@@C?SQ?F@Jb_{C?,embeddable,sat
M@@A?aAa?J@YJA{C?,minimally unembeddable,unsat
M@@A?iI_?O_ZJA{C?,5-grid embeddable,sat
M@@A?qI_?G_ZJA{C?,unembeddable,unsat
M@@C?_aQ?J@YbA{C?,minimally unembeddable,unsat
M@@C?_cQ?F@Jb_{C?,minimally unembeddable,unsat
M@@C?_iQ?I?ZbA{C?,unembeddable,unsat
M@@C?a@Q?S`kHa{C?,minimally unembeddable,unsat
M@@C?aAQ?J@YJA{C?,unembeddable,unsat
M@@C?aGQ?E`kHa{C?,embeddable,sat
M@@C?aIQ?I?ZJA{C?,unembeddable,unsat
M@@C?aKQ?E@JHa{C?,minimally unembeddable,unsat
M@@C?cG_HGhCBo{@?,embeddable,sat
M@@C?c_Q?P_lb_{C?,unembeddable,unsat
M@@C?e?Q?J@FJ_{C?,minimally unembeddable,unsat
M@@C?gAa@@hCBo{@?,minimally unembeddable,unsat
M@@C?gGO`@pCBo{@?,13-grid embeddable,sat
M@@C?gG_`@hCBo{@?,embeddable,sat
M@@C?giO?O_ZbA{C?,embeddable,sat
M@@C?iIO?O_ZJA{C?,embeddable,sat
M@@C?o?OhHPCBo{@?,13-grid embeddable,sat
M@@C?o?_hHHCBo{@?,embeddable,sat
M@@C?oCO`@pCBo{@?,13-grid embeddable,sat
M@@C?o_Q?D_lb_{C?,13-grid embeddable,sat
M@@C?ocO?D`Jb_{C?,embeddable,sat
M@@C?qKO?C`JHa{C?,embeddable,sat
M@@CA?[a?E@JHa{C?,unembeddable,unsat
M@@CCO[O?C`JHa{C?,embeddable,sat
M@@CG_@_HOhCBo{@?,13-grid embeddable,sat
M@@CG_@a@@hCBo{@?,9-grid embeddable,sat
M@@CG_G_P@hCBo{@?,minimally unembeddable,unsat
M@@CGo?_H@hCBo{@?,minimally unembeddable,unsat
M@@CO_?_XHHCBo{@?,5-grid embeddable,sat
M@@CO_@_HGhCBo{@?,9-grid embeddable,sat
M@@G?Cbaca@hScwG?,unembeddable,unsat
M@@G?DBccQEHBcwG?,unembeddable,unsat
M@@GACJ_c_cqEIwO?,unembeddable,unsat
M@@GACR_cOcqEIwO?,unembeddable,unsat
M@@G_?@OhQOKb_{@?,13-grid embeddable,sat
M@@G_?HO`AoKb_{@?,5-grid embeddable,sat
M@@G_C@OHOoKb_{@?,9-grid embeddable,sat
M@@G_CGOHAoKb_{@?,embeddable,sat
M@@G_OAOHAoKb_{@?,embeddable,sat
M@@H?`?g?B`pogeO_,unembeddable,unsat
M@@I?cI_S@eDBSw_?,unembeddable,unsat
M@@I?cJ_?PeB`Sw_?,unembeddable,unsat
M@@K?_@O`@pCBo{@?,embeddable,sat
M@@K?c?OH@pCBo{@?,5-grid embeddable,sat
M@A?_@D_pQH?B`{@?,5-grid embeddable,sat
M@A?_ADOpQH?B`{@?,5-grid embeddable,sat
M@A?_D@`PPH?B`{@?,9-grid embeddable,sat
M@A?_D@aPHH?B`{@?,minimally unembeddable,unsat
M@A?_DCaPBH?B`{@?,embeddable,sat
M@A?_ECOXQH?B`{@?,5-grid embeddable,sat
M@A?_H@_hQH?B`{@?,9-grid embeddable,sat
M@A?_P@_hIH?B`{@?,21-grid embeddable,sat
M@A?_P@_pHH?B`{@?,17-grid embeddable,sat
M@A?_PA_XIH?B`{@?,embeddable,sat
M@A?_PA`PBH?B`{@?,embeddable,sat
M@A?_PC_pBH?B`{@?,7-grid embeddable,sat
M@A?`@AQ?R?ybA{C?,13-grid embeddable,sat
M@A?`HIO?O_ZbA{C?,embeddable,sat
M@A?g@@_XQH?B`{@?,13-grid embeddable,sat
M@A?g@@aPBH?B`{@?,5-grid embeddable,sat
M@A?g@G_XQGGB`{@?,7-grid embeddable,sat
M@A?g@GaPBGGB`{@?,7-grid embeddable,sat
M@A?h?GOQ@pCBo{@?,embeddable,sat
M@A?h?GOS@hCBo{@?,9-grid embeddable,sat
M@A?o@CaPBGGB`{@?,7-grid embeddable,sat
M@A?o@G_XIGGB`{@?,9-grid embeddable,sat
M@A?o@G`PBGGB`{@?,minimally unembeddable,unsat
M@A?p?@PA@pCBo{@?,embeddable,sat
M@A?yA@Q?O_LHB{C?,unembeddable,unsat
M@A@?`@Q?S`k`a{C?,embeddable,sat
M@A@?`@Q?T@i`a{C?,minimally unembeddable,unsat
M@A@?pKO?C`J`a{C?,unembeddable,unsat
M@A@W`@Q?B@B`B{C?,embeddable,sat
M@AA?_gQ?F@i`a{C?,minimally unembeddable,unsat
M@AA?_kQ?E@J`a{C?,minimally unembeddable,unsat
M@AA?a@Q?T@iHa{C?,minimally unembeddable,unsat
M@AA?aCQ?F@JJ_{C?,unembeddable,unsat
M@AA?aGQ?F?jJ_{C?,unembeddable,unsat
M@AA?aGQ?F@iHa{C?,unembeddable,unsat
M@AA?aKQ?E@JHa{C?,unembeddable,unsat
M@AA?dGa?J@QHB{C?,embeddable,sat
M@AA?dGa?X?YHB{C?,21-grid embeddable,sat
M@AA?eGO?P_jJ_{C?,embeddable,sat
M@AA?eGQ?W_[HB{C?,embeddable,sat
M@AAACWa?J@QHB{C?,unembeddable,unsat
M@AACCWQ?W_[HB{C?,unembeddable,unsat
M@AACOQQ?H`WHB{C?,5-grid embeddable,sat
M@AAY?Pa?O_LHB{C?,minimally unembeddable,unsat
M@ACACWQ?J@QHB{C?,5-grid embeddable,sat
M@ACY?PQ?O_LHB{C?,unembeddable,unsat
M@AG_@A_XQGGB`{@?,13-grid embeddable,sat
M@AG_@G_pBGGB`{@?,7-grid embeddable,sat
M@AG`?AOS@hCBo{@?,13-grid embeddable,sat
M@C@C?B@QPGab_{@?,13-grid embeddable,sat
M@C@K?@?YPGab_{@?,25-grid embeddable,sat
M@C@K?@OWPG`b_{@?,embeddable,sat
M@C@K?@POPGDb_{@?,9-grid embeddable,sat
M@CaCC?@KPGEBo{@?,minimally unembeddable,unsat
M@CcCP_??D_jUCp__,minimally unembeddable,unsat
M@EA@C?@KPGEBo{@?,13-grid embeddable,sat
M@EJAA??@awK?kBC_,embeddable,sat
M@EJE@?_?qCc?L?e_,embeddable,sat
M@G?K?PPOPGPb_{@?,5-grid embeddable,sat
M@GAK?P@OPGBb_{@?,embeddable,sat
M@GOC?B@QPGQb_{@?,5-grid embeddable,sat
M@GQ?G@?iQOEb_{@?,9-grid embeddable,sat
M@GQC?B@OPGBb_{@?,13-grid embeddable,sat
M@O??WQHACoe_q}??,13-grid embeddable,sat
M@O??WQP@Coe_q}??,embeddable,sat
M@O??cK`CCgiGi}??,unembeddable,unsat
M@O?@HBB?cOa_b}??,13-grid embeddable,sat
M@O?@HBD?SOa_b}??,minimally unembeddable,unsat
M@O?AGID@COh_k}??,minimally unembeddable,unsat
M@O?AGKC`COh_k}??,5-grid embeddable,sat
M@O?C?aAogOpPW}??,13-grid embeddable,sat
M@O?C?aAokOgPH}??,embeddable,sat
M@O?C?aB?eOqPW}??,embeddable,sat
M@O?C?aB?kOYPW}??,embeddable,sat
M@O?C?aB_eOgPH}??,9-grid embeddable,sat
M@O?C?aB_gOXPW}??,minimally unembeddable,unsat
M@O?C?cA_eOqPW}??,minimally unembeddable,unsat
M@O?C?cA_iOYPg}??,minimally unembeddable,unsat
M@O?C?cA_kOYPW}??,17-grid embeddable,sat
M@O?C?cAocOhPg}??,embeddable,sat
M@O?C?cAocOpPW}??,9-grid embeddable,sat
M@O?C?cB_cOXPW}??,embeddable,sat
M@O?C@DC`GOoAu}@?,13-grid embeddable,sat
M@O?CABC`G@hPc}??,embeddable,sat
M@O?CADC`G@XPc}??,minimally unembeddable,unsat
M@O?CC_AgkOgPH}??,41-grid embeddable,sat
M@O?CC`A_kOaPH}??,13-grid embeddable,sat
M@O?CC`B_cO`PH}??,9-grid embeddable,sat
M@O?CCaA_gogPH}??,9-grid embeddable,sat
M@O?CCaA_iOaPH}??,13-grid embeddable,sat
M@O?CCaB?cogPH}??,9-grid embeddable,sat
M@O?CCaBOcO`PH}??,17-grid embeddable,sat
M@O?CCcA__ohPg}??,embeddable,sat
M@O?CECGGg@RPo}??,25-grid embeddable,sat
M@O?CECHAG`SCo}??,5-grid embeddable,sat
M@O?CG_A_kOUPW}??,25-grid embeddable,sat
M@O?CG_AokOSPH}??,7-grid embeddable,sat
M@O?CG_B_cOTPW}??,25-grid embeddable,sat
M@O?CG_B_eOSPH}??,7-grid embeddable,sat
M@O?CGaA_gORPW}??,minimally unembeddable,unsat
M@O?CGaB?cORPW}??,embeddable,sat
M@O?CGcA_eOQPH}??,5-grid embeddable,sat
M@O?CGcAocOPPH}??,embeddable,sat
M@O?CIAB?ccgOh}??,embeddable,sat
M@O?CIAD?ScgOh}??,embeddable,sat
M@O?CIAHAC`cCo}??,5-grid embeddable,sat
M@O?CIAHAC`gCg}??,13-grid embeddable,sat
M@O?CIAP@C`cCo}??,17-grid embeddable,sat
M@O?CIAP@C`gCg}??,5-grid embeddable,sat
M@O?CIBB?cCaOb}??,embeddable,sat
M@O?H@@D?SOe_q}??,minimally unembeddable,unsat
M@O?IGID@COH_L}??,5-grid embeddable,sat
M@O?IGKC`COH_L}??,5-grid embeddable,sat
M@O?K?_AGeOqPW}??,embeddable,sat
M@O?K?_AGiOYPg}??,minimally unembeddable,unsat
M@O?K?_AGkOYPW}??,embeddable,sat
M@O?K?_A_iOMPg}??,25-grid embeddable,sat
M@O?K?_AgeOgPH}??,embeddable,sat
M@O?K?_AogOLPg}??,embeddable,sat
M@O?K?_AokOKPH}??,embeddable,sat
M@O?K?_B_eOKPH}??,embeddable,sat
M@O?K?`A?goYPg}??,13-grid embeddable,sat
M@O?K?`A__ohPg}??,embeddable,sat
M@O?K?`A_gOJPg}??,embeddable,sat
M@O?K?cA_eOIPH}??,minimally unembeddable,unsat
M@O?K?cAocOHPH}??,13-grid embeddable,sat
M@O?KA?GOh@UPo}??,13-grid embeddable,sat
M@O?KA?POTAcGo}??,5-grid embeddable,sat
M@O?KA?POXASGo}??,5-grid embeddable,sat
M@O?KAAAQGAhGk}??,13-grid embeddable,sat
M@O?KACA_eCIPH}??,embeddable,sat
M@O?KACCP@@XPc}??,13-grid embeddable,sat
M@O?KACGII@QCp}??,13-grid embeddable,sat
M@O?KADGAG`QCp}??,embeddable,sat
M@O?KC_A?goMPg}??,13-grid embeddable,sat
M@O?KC_AGgOJPg}??,embeddable,sat
M@O?KC`A?coaPH}??,embeddable,sat
M@O?KC`A__o`PH}??,embeddable,sat
M@O?KCcA?coIPH}??,9-grid embeddable,sat
M@O?KCcA__oHPH}??,13-grid embeddable,sat
M@O?KECC@A@FPc}??,embeddable,sat
M@O?KG_AGcORPW}??,embeddable,sat
M@O?KG_A__oLPg}??,5-grid embeddable,sat
M@O?KIAA@@aQPO}??,7-grid embeddable,sat
M@O?KK_A?coEPH}??,5-grid embeddable,sat
M@O?KK_A__oDPH}??,17-grid embeddable,sat
M@O?O?P`HKoWPP}??,unembeddable,unsat
M@O?_QC_QC_tHS}G?,unembeddable,unsat
M@O?`I?AIC?f`o}??,embeddable,sat
M@O@?OS`AC?j_w}??,13-grid embeddable,sat
M@O@?OT_CG_YP`}??,13-grid embeddable,sat
M@O@?Q@`?g_[P`}??,embeddable,sat
M@O@?QD_?g_YP`}??,29-grid embeddable,sat
M@O@?WO`AC?f_w}??,13-grid embeddable,sat
M@O@?WP_CG_UP`}??,13-grid embeddable,sat
M@O@?Y@CCG_UP`}??,embeddable,sat
M@O@?YD_?__RP`}??,21-grid embeddable,sat
M@O@CCTAC?_bP`}??,embeddable,sat
M@O@GOP_CG_MP`}??,embeddable,sat
M@O@GQ@CCG_MP`}??,5-grid embeddable,sat
M@O@GQD_?__JP`}??,embeddable,sat
M@OC?__BKI?[P`}??,embeddable,sat
M@OC@DEA?_o_@V}@?,5-grid embeddable,sat
M@OCA?`A_g?f`o}??,embeddable,sat
M@OCA?`B?c?f`o}??,embeddable,sat
M@OCACdA?__b``}??,21-grid embeddable,sat
M@OCCCdA?__bP`}??,embeddable,sat
M@OG?_B_PGgR`g}??,unembeddable,unsat
M@OOO?@_YICS`b}C?,unembeddable,unsat
M@OOO?@_sHGiGi}??,unembeddable,unsat
M@OP?CCAQBOEb_{@?,13-grid embeddable,sat
M@OP?O@_GDogPb}C?,unembeddable,unsat
M@O__G@?iQOEb_{@?,embeddable,sat
M@O_cC?@KPGEBo{@?,5-grid embeddable,sat
M@PCC@Ii?ICbCgCQ_,unembeddable,unsat
M@PK?c__?L?FAT{C?,unembeddable,unsat
M@PLE?O_?LEGAD?M_,embeddable,sat
M@PLE?O_?h`AG`?X_,13-grid embeddable,sat
M@PLE?O_@_`S@E?X_,9-grid embeddable,sat
M@PcU?O_?HeAA`?Y_,13-grid embeddable,sat
M@PcU?O_?LEGAD?M_,embeddable,sat
M@PcU?O_@__sAE?X_,unembeddable,unsat
M@Q??@[cRCCgAp_e?,unembeddable,unsat
M@Q??AhFECGgK`?u?,9-grid embeddable,sat
M@Q??BAKg[DH`OSO_,unembeddable,unsat
M@Q??BAgXS@hSOD__,unembeddable,unsat
M@Q@?GGCGAoSOr~??,minimally unembeddable,unsat
M@Q@?_C?GQoWOl~??,minimally unembeddable,unsat
M@Q@?_C?OPgS_t~??,minimally unembeddable,unsat
M@QC?B@HOeMCBCAa_,unembeddable,unsat
M@QC?B@[HWBO@Q?p_,unembeddable,unsat
M@QCA?RLAST??X@E_,unembeddable,unsat
M@QCA?{CqO?i_aGB_,unembeddable,unsat
M@QE@HOa?gD??b?[_,9-grid embeddable,sat
M@QE@QOP@_@_?b?[_,minimally unembeddable,unsat
M@QJ?a??@owK?k@S_,embeddable,sat
M@QK?c_O?E_FBH{C?,unembeddable,unsat
M@QKA?QGV_@_?h?T_,embeddable,sat
M@QKa?_?@awK?kBC_,minimally unembeddable,unsat
M@QKb@?_?ocg?M?h_,9-grid embeddable,sat
M@QQPA??@owK?k@S_,unembeddable,unsat
M@TDE?C_@KAK?LAE_,5-grid embeddable,sat
M@W?G`?_?d`ioWh__,embeddable,sat
M@WA?iG??D_jkCp__,unembeddable,unsat
M@XSE?A_?dCK@DAE_,minimally unembeddable,unsat
M@XSE?A_?kCK?LAE_,embeddable,sat
M@YQE?A_@D`AD@?X_,embeddable,sat
M@_??DCDHQGWb_{@?,embeddable,sat
M@_??DCEHIGWb_{@?,minimally unembeddable,unsat
M@_??DGDHIGWb_{@?,embeddable,sat
M@_??HCChQGWb_{@?,embeddable,sat
M@_??HGChIGWb_{@?,embeddable,sat
M@_??PCChIGWb_{@?,17-grid embeddable,sat
M@_?G@CCXQGWb_{@?,embeddable,sat
M@_?G@GCXIGWb_{@?,embeddable,sat
M@_?GP?ChBGgb_{@?,13-grid embeddable,sat
M@_@??DOoqGcb_{@?,41-grid embeddable,sat
M@_@??HOoiGcb_{@?,7-grid embeddable,sat
M@_@?C@QGhGgb_{@?,minimally unembeddable,unsat
M@_@?CCCYQGcb_{@?,minimally unembeddable,unsat
M@_@?CCQGbGgb_{@?,17-grid embeddable,sat
M@_@?CDOOogcb_{@?,5-grid embeddable,sat
M@_@?CDP?ogKb_{@?,embeddable,sat
M@_@?CDQ?agcb_{@?,embeddable,sat
M@_@?CDQ?ggKb_{@?,minimally unembeddable,unsat
M@_@?CHOGgggb_{@?,embeddable,sat
M@_@?CHOOggcb_{@?,13-grid embeddable,sat
M@_@?CHP?ggKb_{@?,embeddable,sat
M@_@?GGOgbGgb_{@?,minimally unembeddable,unsat
M@_@?OCOgbGgb_{@?,13-grid embeddable,sat
M@_@?ODO_agcb_{@?,embeddable,sat
M@_@?ODO_ggKb_{@?,embeddable,sat
M@_@G?@CYQGcb_{@?,minimally unembeddable,unsat
M@_@G?HCQAgcb_{@?,5-grid embeddable,sat
M@_@GG@CIOgKb_{@?,embeddable,sat
M@_@GO@CIGgKb_{@?,13-grid embeddable,sat
M@_A??DCpQGcb_{@?,embeddable,sat
M@_A??HCpIGcb_{@?,5-grid embeddable,sat
M@_A?C@EHIGcb_{@?,embeddable,sat
M@_A?CCCXQGcb_{@?,21-grid embeddable,sat
M@_A?CGCXIGcb_{@?,13-grid embeddable,sat
M@_A?GGChIGKb_{@?,embeddable,sat
M@_A?O@ChIGcb_{@?,9-grid embeddable,sat
M@_A?OCChBGgb_{@?,13-grid embeddable,sat
M@_A?OCChIGKb_{@?,13-grid embeddable,sat
M@_A?OCCpBGcb_{@?,17-grid embeddable,sat
M@_AG?@EHIGKb_{@?,embeddable,sat
M@_H?_@P?HoTOs}??,unembeddable,unsat
M@_H?_@P?KoTO[}??,unembeddable,unsat
M@_O@?H?iCgg``}A?,minimally unembeddable,unsat
M@_OP?@?i@ogP`}A?,minimally unembeddable,unsat
M@_P?O@O_DodPS}??,unembeddable,unsat
M@_P?O@P?KgM_i}??,unembeddable,unsat
M@_P?O@_iIGCB`{@?,9-grid embeddable,sat
M@_Q?CCAPBGEb_{@?,21-grid embeddable,sat
M@_Q?CG@PBGEb_{@?,13-grid embeddable,sat
M@_X??@OkBGGB`{@?,5-grid embeddable,sat
M@__O?@CiBOgP`}A?,5-grid embeddable,sat
M@___?BQKIGGB`{@?,9-grid embeddable,sat
M@___C@AIIGEb_{@?,13-grid embeddable,sat
M@___C@aIIGCB`{@?,9-grid embeddable,sat
M@___G@?iQGEb_{@?,minimally unembeddable,unsat
M@___O@?iIGEb_{@?,minimally unembeddable,unsat
M@__aC?@KPGEBo{@?,minimally unembeddable,unsat
M@`???]cRCGgIP_e?,unembeddable,unsat
M@`??@[cRCCgAp_e?,embeddable,sat
M@`??AhFECGgK`?u?,unembeddable,unsat
M@`?_C@AHIGEb_{@?,embeddable,sat
M@`?_G@?hQGEb_{@?,13-grid embeddable,sat
M@`?_G_AGEGR_Y~??,unembeddable,unsat
M@`?_O@?hIGEb_{@?,5-grid embeddable,sat
M@`?`?CAGEOTOU~??,unembeddable,unsat
M@`?gX?G?B?RqDkI?,unembeddable,unsat
M@`AC?OGASpcHSCw?,21-grid embeddable,sat
M@`AC?[S`GCH?xaE?,embeddable,sat
M@`AC?iDPHBAO`_Q_,unembeddable,unsat
M@`AC?wS`G?h?xaE?,unembeddable,unsat
M@`AC@kD@C?XCTaE?,unembeddable,unsat
M@`AC@wH?c?i?raE?,unembeddable,unsat
M@`ACAaSOS?hHHEE?,embeddable,sat
M@`CA?UIOXe?_`OP_,unembeddable,unsat
M@`CA?X@?C_N[ajC?,unembeddable,unsat
M@`CA?eISaIOAD@I_,unembeddable,unsat
M@`CA?{?occIa@PA_,unembeddable,unsat
M@`CA@Ei?ECbEGCQ_,unembeddable,unsat
M@`CABgAOKAPHECT?,embeddable,sat
M@`E?YOW?gD??b?[_,9-grid embeddable,sat
M@`E@aGP?oC_?b?[_,minimally unembeddable,unsat
M@`J?a??@owK?k@S_,embeddable,sat
M@`JC`?_@PAa?Y?d_,9-grid embeddable,sat
M@`K?c_O?L?FAT{C?,embeddable,sat
M@`KQHA_PWASCTGM?,unembeddable,unsat
M@`KbA?O@``_?d?X_,embeddable,sat
M@`QPA??@owK?k@S_,9-grid embeddable,sat
M@aA??jDQKGIa@KA_,unembeddable,unsat
M@aA??jDSKGIQ@KA_,minimally unembeddable,unsat
M@aA?ccO?O`T@U{C?,embeddable,sat
M@aA?gaO?O`T@U{C?,embeddable,sat
M@aAA?TQ`AASHEaB?,unembeddable,unsat
M@aAA?UKORD@O``C_,unembeddable,unsat
M@aAAB_E_i@I@aGH_,unembeddable,unsat
M@aAAB_E_i`G@`GH_,unembeddable,unsat
M@aAABgAOKAPHECT?,unembeddable,unsat
M@aCaGgO?DhG@EK@_,13-grid embeddable,sat
M@aIbA?O?gdG?M?h_,embeddable,sat
M@aJA`?_@PAc?U?d_,5-grid embeddable,sat
M@dAL@__?c`C@P?F_,13-grid embeddable,sat
M@dCL@_O?c`C@P?F_,13-grid embeddable,sat
M@eCI?`O?Pgg?eK@_,13-grid embeddable,sat
M@hQE?A_@CaK@EAH_,9-grid embeddable,sat
M@qc?CPO?HhG?eK@_,13-grid embeddable,sat
MA??hP?HKD@LbC{O?,13-grid embeddable,sat
MA??k?`AQPCab_{@?,minimally unembeddable,unsat
MA?@K?PPOPD@b_{@?,13-grid embeddable,sat
MA?@S?PPOPC`b_{@?,embeddable,sat
MA?G_O`GaGod_s}??,unembeddable,unsat
MA?G_O``AGcT_s}??,unembeddable,unsat
MA?OK?@IQPCSb_{@?,13-grid embeddable,sat
MA?OS?@HQPCSb_{@?,9-grid embeddable,sat
MA?OS?`@QPCQb_{@?,9-grid embeddable,sat
MA?PC?B@QPDAb_{@?,9-grid embeddable,sat
MA?PCP?_gRCdBc{O?,unembeddable,unsat
MA?PK?@?YPDAb_{@?,13-grid embeddable,sat
MA?PK?@OWPD@b_{@?,embeddable,sat
MA?PK?@QOPCDb_{@?,9-grid embeddable,sat
MA?_cP?_gRCdBc{O?,unembeddable,unsat
MA?_cQA?gQgbJG{O?,unembeddable,unsat
MA?gACJC`_oqaIwO?,unembeddable,unsat
MA?gACJCc_cqaIwO?,unembeddable,unsat
MA?gCCJGd?iQEIpO?,unembeddable,unsat
MA?k?cJAK?chSEw_?,unembeddable,unsat
